,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AAAA,,,,,,,,,,,,,,,,,,,,
AAAU,,,,,,,,,,,,,,0.16091949403083916,0.24196724813492576,-0.06046511902988805,0.010050268381313732,0.1200658202597864,0.27219231537725275,0.629897184553277
AADR,,,,,0.2109272816310337,-0.057695737775275,0.0769816424808091,0.1941551693743362,0.00909207890402,0.0601772985285931,0.0717281592607403,0.439253582214282,-0.3319343155569768,0.3447649604613614,0.1112992451786227,0.0552489945450755,-0.231143882632911,0.2010123476881107,0.2730500026467268,0.2353541405584884
AAOX,,,,,,,,,,,,,,,,,,,,
AAPB,,,,,,,,,,,,,,,,,,0.8874472098097117,0.5692379027026446,0.05480186673606968
AAPR,,,,,,,,,,,,,,,,,,,,0.07936207424515063
AAPY,,,,,,,,,,,,,,,,,,,0.24818798877170467,0.0757403968954129
AAUS,,,,,,,,,,,,,,,,,,,,
AAVM,,,,,,,,,,,,,-0.1623890337039024,0.0450594773146937,0.0398405674505069,0.0341964418806108,-0.0684442691860692,0.0134461607705729,0.1284670693772565,0.1864809481439646
AAXJ,,,,0.6072210064012564,0.1324991145387755,-0.2124738667060535,0.2033720377641095,-0.004852553161854067,0.06298997989517541,-0.09856823787408397,0.07837992113242076,0.40382287050512655,-0.16780760417612683,0.1875512784565665,0.2103223713581719,-0.06584514595434166,-0.20914269112086803,0.037032604403348435,0.12318223418668173,0.32496890975723813
ABCS,,,,,,,,,,,,,,,,,,,0.1462355261240751,0.0905959295159801
ABIG,,,,,,,,,,,,,,,,,,,,
ACEP,,,,,,,,,,,,,,,,,,,,
ACES,,,,,,,,,,,,,,0.5028217147332978,1.370417967626942,-0.1925286413321225,-0.2991045281087087,-0.1807583339992793,-0.2586827260119516,0.2301041688944749
ACIO,,,,,,,,,,,,,,,0.0943334763639045,0.1906375201948666,-0.1031623387247639,0.1614463662555616,0.2235854022139256,0.1000817499324169
ACLZ,,,,,,,,,,,,,,,,,,,,
ACMM,,,,,,,,,,,,,,,,,,,,
ACWI,,,,0.2952510291904211,0.1050633982246354,-0.08505425937144229,0.14547419800275496,0.1998040067254545,0.053324694919532956,-0.019744460294941257,0.10353839966127176,0.2337420533029424,-0.09974076856283787,0.2662914224235091,0.15145324985275144,0.1931934057081961,-0.1881532353456271,0.22245607910244747,0.18462024111522823,0.23450800615553957
ACWV,,,,,,,0.09509236801326004,0.15896679383443169,0.12043461955650225,0.032006188216656684,0.08979150993446017,0.1825695191798813,-0.016187735400671976,0.21712085502335232,0.027545993858529405,0.14569541498782534,-0.09998264947918767,0.07743797427247268,0.11240213667149757,0.118388292405321
ACWX,,,,0.34255298424317115,0.07372877662849575,-0.1472622910348319,0.1314827359383124,0.12741045859064792,-0.03174990621949947,-0.05230389328583407,0.0658538758159124,0.2650961718389868,-0.14885266536549735,0.21486038918891515,0.08957161591499863,0.07103782120837865,-0.1654906141474134,0.1487417149529553,0.06466800645845305,0.33468608564137714
ADME,,,,,,,,,,,,0.1713115966553158,-0.0661664822366924,0.0914749412371209,0.1823561407686926,0.2194868351186361,-0.2179521711395523,0.1571769423829028,0.2267121874041211,0.1108554458671839
AESR,,,,,,,,,,,,,,,0.188248320598751,0.2706535778676524,-0.1812520197044048,0.2198325232390465,0.2711407248944446,0.0434812010999137
AFGR,,,,,,,,,,,,,,,,0.15114012060257465,-0.3918262245269586,0.4539007690787762,0.28765666098548515,0.17696870584542967
AFK,,,,0.29801413797952847,0.22541447659518932,-0.24214746296856182,0.23786583878878642,-0.0003634427100013271,-0.12091736373980366,-0.30196753537063314,0.15277910318594579,0.2828180987245863,-0.2048097644277883,0.1040825408316659,0.03088815405537959,0.015103573839373885,-0.17761078776353167,-0.12919837095062603,0.10106761307130774,0.7178296688502233
AFLG,,,,,,,,,,,,,,,0.10004721307627573,0.28911972600877167,-0.16028664512649804,0.20663435565502097,0.27877588142650134,0.15530069388745882
AFMC,,,,,,,,,,,,,,,0.06016614782814789,0.27692086558199636,-0.1539400896828771,0.2177790875382215,0.19447770603794545,0.1130910415983668
AFOS,,,,,,,,,,,,,,,,,,,,
AFSM,,,,,,,,,,,,,,,0.08741409140566847,0.2736763370654709,-0.17850433500853902,0.22852194761410138,0.10939700687503073,0.1116507057508267
AGIQ,,,,,,,,,,,,,,,,,,,,
AGIX,,,,,,,,,,,,,,,,,,,,0.3063918051040968
AGNG,,,,,,,,,,,,0.28169493358011266,-0.022541439404238806,0.2656477137819546,0.18433809424712533,0.0466179842416623,-0.08748260449851164,0.09201384600621942,0.06507966486579475,0.21590205526945327
AGOX,,,,,,,,,,,,,,,,,-0.1908238746298028,0.1926661070342188,0.1657613551658547,0.0812135074872442
AGQ,,,,0.7134574532047706,1.6113946572252962,-0.468037518360926,-0.07547174488968522,-0.655820049928463,-0.4262665951123328,-0.2951587398670238,0.18195214009086014,0.005644641341957524,-0.24354560018559168,0.19977257867397613,0.59353630494059,-0.36315303090114615,-0.046199680247633546,-0.15146784235269362,0.25493843699923646,4.167659678357713
AGQI,,,,,,,,,,,,,,,,,,,0.034840972316389385,0.2754350988179224
AGRW,,,,,,,,,,,,,,,,,,,,
AIA,,,-0.4500294063454371,0.5130222594866076,0.16783475970289907,-0.15348467870923432,0.2179143366169054,-0.007605086205468736,0.03393205781511921,-0.0711320960220102,0.1522159050465195,0.4329709318124939,-0.1606520836674492,0.23282867204654334,0.30837015074762486,-0.12202602085414582,-0.2445784616554948,0.02910404242361575,0.22692768481315495,0.49398547414111227
AIOO,,,,,,,,,,,,,,,,,,,,
AIQ,,,,,,,,,,,,,,0.38323540988686045,0.4955735488623172,0.18226809331462857,-0.36623576272959024,0.553095627349383,0.27127625359185714,0.3380896280561094
AIRR,,,,,,,,,,-0.08811773875042883,0.46479165902508535,0.15548665928889305,-0.20856144758913187,0.33179146211715094,0.17892380162903043,0.3563773005368498,-0.02330138450227892,0.3164389109110073,0.34633423354137305,0.2977980051153186
AIS,,,,,,,,,,,,,,,,,,,,0.5961698947082321
AIVI,0.27289625088140745,0.11465460667380567,-0.4539340510079328,0.31211775830898736,0.02735962347647991,-0.06759059634165976,0.0803372036266723,0.17129601898084568,-0.031234614409253125,-0.0771097659398523,0.0377591028860611,0.20018787391117643,-0.10059290074827809,0.18240136332234846,-0.02077488930798288,0.08692124216891806,-0.10223286482301297,0.16975475148297647,0.02915752353465928,0.39785176805493094
