,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
PLTL,,,,,,,,,,,,,,,,,,,,
MSFC,,,,,,,,,,,,,,,,,,,,
MSIX,,,,,,,,,,,,,,,,,,,,
XLVX,,,,,,,,,,,,,,,,,,,,
XLFX,,,,,,,,,,,,,,,,,,,,
WTLS,,,,,,,,,,,,,,,,,,,,
RJCA,,,,,,,,,,,,,,,,,,,,
SNXFX,0.1341365948709643,0.0574228719002865,-0.3638375720007625,0.2374254779157647,0.141347637738683,-5.325524901156342e-05,0.1401889914728942,0.2935121904689617,0.1370915124826219,0.008426636482028,0.1325049338731805,0.2071662219854164,-0.0582167612118145,0.3133597978562703,0.1973529256183415,0.2796914314960661,-0.1990240068665814,0.2708415989923274,0.2526390736033732,0.1832790744880177
SWPPX,0.1378254941847188,0.0550265647949836,-0.3579556093874195,0.223973914598569,0.1314947837135605,0.0089205296698191,0.14142681852307,0.2895173763873551,0.1454285730375253,0.0134483237599658,0.135499727612931,0.2078918085436816,-0.0525475886481384,0.3128404281497388,0.1738534477056825,0.3060756668770188,-0.1866111683506948,0.2675342652511163,0.2566997328354079,0.1892751926952049
RPBAX,0.1233087354808568,0.0707452677198314,-0.2808178483039407,0.2576438314797127,0.1105778916983468,0.0011430103956475,0.1394144657381104,0.1747904727745213,0.0661995207347565,0.0053088721884895,0.0714129123792137,0.173764631466198,-0.0489463022650549,0.2080707241098494,0.1367744893637417,0.1408891189242505,-0.1730246239507598,0.1784765767022109,0.1246835860449169,0.1667780142325063
FXAIX,,,,,,,0.1420317647004876,0.2908304847859111,0.1466106693675759,0.0139462005656409,0.1368367715533316,0.2080198073166721,-0.0522077755018045,0.3131777655233523,0.1741259511502186,0.3062306359932667,-0.1865459546116656,0.2679520718704942,0.2572091193202055,0.1896638657191602
FIGRX,0.2100160428825623,0.1813993495781685,-0.4398877658678434,0.2844100050953984,0.0849413058989543,-0.1583831998524385,0.1900115450876338,0.2287635649814217,-0.043995227850847,0.0526305808957718,-0.0385351542249681,0.3138600626130534,-0.1769758258196518,0.2816491940395298,0.2051492648600965,0.1065631141589018,-0.2490128626315044,0.1400219805015989,0.1257883464366358,0.279533838201297
FFFHX,,0.096797120072507,-0.400347798046803,0.290782897635981,0.1272302635992057,-0.065497931048328,0.1306217110861258,0.1965227668449123,0.0674534482236894,0.0001132527781657,0.1037005834366568,0.2147469071272763,-0.0971354707356288,0.2533497356054925,0.1728425921586258,0.1702434669725412,-0.185830129537633,0.2045482534663187,0.1504937543668367,0.2425877891650869
FDCAX,0.1176232715777003,0.064706148555452,-0.3958803927561304,0.3177569584178987,0.1659890104745864,-0.0411032606131885,0.2103216125755755,0.3288161567311338,0.114467517531859,0.0205429562792121,0.0516295553090178,0.2286288489436923,-0.062644607469665,0.3019216718639494,0.3254943029890944,0.2532150998046516,-0.2118056125785039,0.2921605546078558,0.2686523355776415,0.1867000067884041
NOLCX,0.1437696119682903,0.0102266866135711,-0.3676808651919712,0.227575591898397,0.1190555183348862,0.0308380211930052,0.1451527061964954,0.3288082356862645,0.1611495226025074,-0.0145293959617412,0.1331182656299876,0.1936359990720959,-0.0663764544492307,0.2542842146687973,0.1121880017011016,0.3459091257298528,-0.1606635009540556,0.2496136281443055,0.2690767600932788,0.2288544688311924
ATFV,,,,,,,,,,,,,,,,,-0.3608017326734065,0.344115685698898,0.503882263748384,0.3723972446330954
CCNR,,,,,,,,,,,,,,,,,,,,0.459072677009456
FFTWX,0.1015822727941921,0.0857117140905139,-0.3324737388345129,0.275437740240116,0.1208437360141341,-0.0338699281741177,0.1158998851222765,0.1488590043643443,0.0634908573210157,0.0003432127434919,0.0876646148699933,0.1628205966084976,-0.0644380338304674,0.1935578863975444,0.1398037851659372,0.1037981623358585,-0.1665855375125156,0.1390745817739185,0.0894542013809589,0.1693193863831388
SIXF,,,,,,,,,,,,,,,,,,,,0.134177867040226
FDKVX,,,,,,,,,,8.973638078968449e-05,0.1038940782887554,0.2129153631834208,-0.0971603248518909,0.2530714840978194,0.1724222213253841,0.1701602989000925,-0.1857053405679111,0.2060843809575152,0.1507958982544586,0.2432228683113384
TRRFX,0.1027804053177057,0.0659264573676476,-0.2190318561468232,0.2285571012718534,0.1035703188188237,0.0080901068898795,0.1135955930962393,0.086791736226619,0.0513774625786702,-0.0076339965177196,0.0741017994976624,0.1067310621687458,-0.0329159779883536,0.1499757645952395,0.108325913259335,0.0844372951470058,-0.1354484401997739,0.1165632600689468,0.086054351049601,0.1161988225308057
FSELX,-0.0229611012011338,0.0428745559603824,-0.4836229509205002,0.7817480257701845,0.1482141467441711,-0.0914927791713422,0.0180467587750208,0.3398768195088737,0.4052712308884894,0.0239400087248133,0.3358582893811139,0.3417679326576988,-0.1858329119211123,0.6243683702339569,0.4194432920281128,0.5965292512050322,-0.3646964507821352,0.8184610209001373,0.4838710107456179,0.4319116697234706
BGDV,,,,,,,,,,,,,,,,,,,,0.1457332659005166
ETTOX,,,,,,,,,,,,,,,,,,,,
FLCOX,,,,,,,,,,,,0.1286026350696163,-0.0881712227966677,0.2641944952565578,0.0256360821174905,0.2690639081057537,-0.0791271829329951,0.1155881093488593,0.1395483225394846,0.1693246932093859
VFIAX,0.1386687614096955,0.0558218242507517,-0.3606324629649434,0.2272698383017277,0.1322616048219713,0.0093304508095262,0.1419758163331093,0.2901905881475461,0.1465035326269759,0.0136692710766941,0.1365029794288592,0.2075007765220686,-0.0524148477384598,0.312955314532533,0.1731599915563495,0.3057586048965106,-0.1868157132851748,0.26744732696774,0.2567577972036978,0.1895846727057684
FNCMX,0.0814593836504609,0.101630306972601,-0.3904715813075293,0.4006595998828046,0.1580994640392301,-0.023941071444823,0.1534819375630847,0.3555573339234523,0.1550787548319414,0.0697164321610785,0.1107641334893962,0.2815327940055203,-0.0449860284799369,0.3598431617166044,0.4264772115194901,0.2403136097898817,-0.3320334139599497,0.4623214158400961,0.3161486701949354,0.2221634163266224
FFNOX,0.1364854369913162,0.0606115806020806,-0.3197960593342166,0.2222799953234167,0.1179506024030223,-0.0223508993647264,0.1324325278651705,0.221469772823609,0.0764139460226502,0.0028171161337422,0.0975508159314184,0.1856247004267821,-0.0712281225944707,0.2515054081515375,0.1552024539016805,0.1799162856094833,-0.1819311822172741,0.191361829655752,0.1397400129121568,0.2092277614588236
VTMFX,0.0822777611481602,0.0510607631870352,-0.1792717090790466,0.1728638931354913,0.0835112212064259,0.0500930755070243,0.1017387661077935,0.1297958734643314,0.1025442843782498,0.0226741030832706,0.0662000021046951,0.1212099439455975,-0.0181150746149548,0.1785266578817643,0.1278886876927167,0.1387573436656672,-0.1293954905194838,0.1565103610793254,0.1251998742335678,0.1169244199514236
FSPTX,0.050278404774614,0.1902810205634686,-0.5021789275020001,0.8371472233103687,0.2442738488610216,-0.1088320857071137,0.1576961322957062,0.283354140566761,0.1138405547355856,0.076077898057556,0.1464216395023094,0.4825808595761116,-0.1069188949760994,0.5119523454821673,0.6103231139223566,0.2345884473962312,-0.3748763462544697,0.6182690607812618,0.3903189537939151,0.2410040562914683
FFTHX,0.1109387164961663,0.0920722253166475,-0.3725199915191065,0.282264918298897,0.1247028777396805,-0.0547910288295365,0.1252189164415458,0.1858952306967862,0.0669957142103567,0.0007810100358351,0.1036357653413768,0.2126701314225614,-0.0917329495438502,0.2439623980974241,0.1629637099858303,0.1478392216071893,-0.1786094878092684,0.1757376384032647,0.1187769530505697,0.1969709262480368
ALGRX,0.0230654586366139,0.190094851909949,-0.4665841887432506,0.3601440369155453,0.1203982181256948,-0.0181553779201076,0.0644460686826804,0.3233927680437005,0.1494194479512356,0.0703214028924696,0.0300084087855445,0.3256641452814381,0.0007743733063769,0.3428271318791358,0.4356969747571317,0.2190210733312385,-0.3656286402735904,0.4539201205431782,0.5432718984876861,0.3979917495881599
FCNTX,0.0921379328013494,0.1968974824116027,-0.3665574820443793,0.2618896363304992,0.1540625914682956,-0.0109979605117802,0.1460448609083655,0.3087542771372695,0.1046384920413414,0.0657898067089444,0.0553051426275803,0.3098731924876554,-0.0340557358973784,0.2976215539433393,0.3067397707052965,0.2617512484407571,-0.2850008670176558,0.3982795187189434,0.3719470327883849,0.2186725466923618
