cid  name                                     type  notnull  dflt_value  pk
---  ---------------------------------------  ----  -------  ----------  --
0    Ticker                                   TEXT  0                    0 
1    Name                                     TEXT  0                    0 
2    Morningstar_Category                     TEXT  0                    0 
3    Asset_Class                              TEXT  0                    0 
4    Primary_Benchmark                        TEXT  0                    0 
5    Equity_Style_Box_Funds                   TEXT  0                    0 
6    Inception_Date                           TEXT  0                    0 
7    Broad_Category_Group                     TEXT  0                    0 
8    TTM_Yield                                TEXT  0                    0 
9    Total_Return_1W                          TEXT  0                    0 
10   Total_Return_1M                          TEXT  0                    0 
11   Total_Return_2M                          TEXT  0                    0 
12   Total_Return_QTD                         TEXT  0                    0 
13   Total_Return_3M                          TEXT  0                    0 
14   Total_Return_6M                          TEXT  0                    0 
15   Total_Return_9M                          TEXT  0                    0 
16   Total_Return_YTD                         TEXT  0                    0 
17   Total_Return_1Y                          TEXT  0                    0 
18   Total_Return_2Y                          TEXT  0                    0 
19   Total_Return_3Y                          TEXT  0                    0 
20   Total_Return_4Y                          TEXT  0                    0 
21   Total_Return_5Y                          TEXT  0                    0 
22   Total_Return_6Y                          TEXT  0                    0 
23   Total_Return_7Y                          TEXT  0                    0 
24   Total_Return_8Y                          TEXT  0                    0 
25   Total_Return_9Y                          TEXT  0                    0 
26   Total_Return_10Y                         TEXT  0                    0 
27   Total_Return_15Y                         TEXT  0                    0 
28   Total_Return_20Y                         TEXT  0                    0 
29   Total_Return_Since_Inception             TEXT  0                    0 
30   col_1W_Return_Rank_in_Category           TEXT  0                    0 
31   col_1M_Return_Rank_in_Category           TEXT  0                    0 
32   col_2M_Return_Rank_in_Category           TEXT  0                    0 
33   QTD_Return_Rank_in_Category              TEXT  0                    0 
34   col_3M_Return_Rank_in_Category           TEXT  0                    0 
35   col_6M_Return_Rank_in_Category           TEXT  0                    0 
36   col_9M_Return_Rank_in_Category           TEXT  0                    0 
37   YTD_Return_Rank_in_Category              TEXT  0                    0 
38   col_1Y_Return_Rank_in_Category           TEXT  0                    0 
39   col_2Y_Return_Rank_in_Category           TEXT  0                    0 
40   col_3Y_Return_Rank_in_Category           TEXT  0                    0 
41   col_4Y_Return_Rank_in_Category           TEXT  0                    0 
42   col_5Y_Return_Rank_in_Category           TEXT  0                    0 
43   col_6Y_Return_Rank_in_Category           TEXT  0                    0 
44   col_7Y_Return_Rank_in_Category           TEXT  0                    0 
45   col_8Y_Return_Rank_in_Category           TEXT  0                    0 
46   col_9Y_Return_Rank_in_Category           TEXT  0                    0 
47   col_10Y_Return_Rank_in_Category          TEXT  0                    0 
48   col_15Y_Return_Rank_in_Category          TEXT  0                    0 
49   col_20Y_Return_Rank_in_Category          TEXT  0                    0 
50   Sharpe_Ratio_1Y_Monthly                  TEXT  0                    0 
51   Sharpe_Ratio_3Y_Monthly                  TEXT  0                    0 
52   Sharpe_Ratio_5Y_Monthly                  TEXT  0                    0 
53   Sharpe_Ratio_10Y_Monthly                 TEXT  0                    0 
54   Standard_Deviation_1Y_Monthly            TEXT  0                    0 
55   Standard_Deviation_3Y_Monthly            TEXT  0                    0 
56   Standard_Deviation_5Y_Monthly            TEXT  0                    0 
57   Standard_Deviation_10Y_Monthly           TEXT  0                    0 
58   Worst_Three_Month_Return                 TEXT  0                    0 
59   Best_Three_Month_Return                  TEXT  0                    0 
60   Morningstar_Risk_Rating_Overall          TEXT  0                    0 
61   Morningstar_Risk_Rating_3Y               TEXT  0                    0 
62   Morningstar_Risk_Rating_5Y               TEXT  0                    0 
63   Morningstar_Risk_Rating_10Y              TEXT  0                    0 
64   Upside_Capture_Ratio_1Y                  TEXT  0                    0 
65   Upside_Capture_Ratio_3Y                  TEXT  0                    0 
66   Upside_Capture_Ratio_5Y                  TEXT  0                    0 
67   Upside_Capture_Ratio_10Y                 TEXT  0                    0 
68   Downside_Capture_Ratio_1Y                TEXT  0                    0 
69   Downside_Capture_Ratio_3Y                TEXT  0                    0 
70   Downside_Capture_Ratio_5Y                TEXT  0                    0 
71   Downside_Capture_Ratio_10Y               TEXT  0                    0 
72   Maximum_Drawdown_1Y                      TEXT  0                    0 
73   Maximum_Drawdown_3Y                      TEXT  0                    0 
74   Maximum_Drawdown_5Y                      TEXT  0                    0 
75   Maximum_Drawdown_10Y                     TEXT  0                    0 
76   Portfolio_Risk_Score                     TEXT  0                    0 
77   Beta_3Y_Monthly                          TEXT  0                    0 
78   Alpha_3Y_Monthly                         TEXT  0                    0 
79   Net_Expense_Ratio                        TEXT  0                    0 
80   Adjusted_Expense_Ratio                   TEXT  0                    0 
81   Total_Net_Assets_for_Share_Class         TEXT  0                    0 
82   Fund_Size                                TEXT  0                    0 
83   Premium_Discount                         TEXT  0                    0 
84   Premium_Discount_1Y_Avg                  TEXT  0                    0 
85   Portfolio_Growth_Grade                   TEXT  0                    0 
86   Portfolio_Financial_Health_Grade         TEXT  0                    0 
87   Portfolio_Profitability_Grade            TEXT  0                    0 
88   Portfolio_Economic_Moat_Coverage_Wide    TEXT  0                    0 
89   Portfolio_Economic_Moat_Coverage_Narrow  TEXT  0                    0 
90   Portfolio_Economic_Moat_Coverage_None    TEXT  0                    0 
91   Portfolio_Return_on_Invested_Capital     TEXT  0                    0 
92   Portfolio_Price_Earnings                 TEXT  0                    0 
93   Portfolio_Price_Book                     TEXT  0                    0 
94   Portfolio_Price_Sales                    TEXT  0                    0 
95   Portfolio_Price_Free_Cash_Flow           TEXT  0                    0 
96   Portfolio_Price_Fair_Value               TEXT  0                    0 
97   ETF_Fair_Value                           TEXT  0                    0 
98   Yield_to_Maturity                        TEXT  0                    0 
99   Tracking_Error_1Y_Monthly                TEXT  0                    0 
100  Tracking_Error_3Y_Monthly                TEXT  0                    0 
101  Tracking_Error_5Y_Monthly                TEXT  0                    0 
102  Tracking_Error_10Y_Monthly               TEXT  0                    0 
103  Fund_Managers                            TEXT  0                    0 
104  Management_Style                         TEXT  0                    0 
105  Medalist_Rating_Overall                  TEXT  0                    0 
106  Medalist_Rating_Parent                   TEXT  0                    0 
107  Medalist_Rating_People                   TEXT  0                    0 
108  Medalist_Rating_Process                  TEXT  0                    0 
109  Morningstar_Rating_for_Funds_Overall     TEXT  0                    0 
110  Morningstar_Rating_for_Funds_3Y          TEXT  0                    0 
111  Morningstar_Rating_for_Funds_5Y          TEXT  0                    0 
112  Morningstar_Rating_for_Funds_10Y         TEXT  0                    0 
113  Morningstar_Return_Rating_Overall        TEXT  0                    0 
114  Morningstar_Return_Rating_3Y             TEXT  0                    0 
115  Morningstar_Return_Rating_5Y             TEXT  0                    0 
116  Morningstar_Return_Rating_10Y            TEXT  0                    0 
117  Tax_Cost_Ratio_1Y                        TEXT  0                    0 
118  Tax_Cost_Ratio_2Y                        TEXT  0                    0 
119  Tax_Cost_Ratio_3Y                        TEXT  0                    0 
120  Tax_Cost_Ratio_5Y                        TEXT  0                    0 
121  Tax_Cost_Ratio_10Y                       TEXT  0                    0 
122  Potential_Capital_Gains_Exposure         TEXT  0                    0 
123  SEC_30_Day_Yield                         TEXT  0                    0 
124  SEC_7_Day_Yield                          TEXT  0                    0 
125  Dividend_per_Share_Trailing_Annual       TEXT  0                    0 
126  Dividend_per_Share_Forward_Annual        TEXT  0                    0 
127  Dividend_per_Share_1Y_Avg                TEXT  0                    0 
128  Dividend_per_Share_3Y_Avg                TEXT  0                    0 
129  Leveraged_Fund                           TEXT  0                    0 
130  Interval_Fund                            TEXT  0                    0 
131  Fund_of_Funds                            TEXT  0                    0 
132  Investment_Status                        TEXT  0                    0 
133  Strategic_Beta_Group                     TEXT  0                    0 
134  Share_Class_Type                         TEXT  0                    0 
135  Tender_Offer                             TEXT  0                    0 
136  Index_Fund                               TEXT  0                    0 
137  Maximum_Deferred_Load                    TEXT  0                    0 
138  Maximum_Front_Load                       TEXT  0                    0 
139  Minimum_Initial_Investment               TEXT  0                    0 
140  Redemption_Fee                           TEXT  0                    0 
